Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Origanum vulgare,L.,453395-1,Human Food; Invertebrate Food; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); European Red List of Medicinal Plants (Allen et al. 2014); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Orthosiphon aristatus,(Blume) Miq.,453446-1,Environmental Uses; Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA)
Orthosiphon incurvus,Benth.,453511-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Orthosiphon pallidus,Royle ex Benth.,453550-1,Animal Food; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Orthosiphon rubicundus,(D.Don) Benth.,453571-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Orthosiphon thymiflorus,(Roth) Sleesen,453597-1,Animal Food; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Orthosiphon wulfenioides,(Diels) Hand.-Mazz.,453624-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Otostegia fruticosa,(Forssk.) Schweinf. ex Penzig,453638-1,Fuels; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Oxera amicorum,(Seem.) Gâteblé & Barrabé,77155758-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Oxera splendida,(F.Muell.) Gâteblé & Barrabé,77155760-1,Environmental Uses; Human Food; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Panzerina lanata,(L.) Soják,911023-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Paraphlomis javanica,(Blume) Prain,453696-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Perilla frutescens,(L.) Britton,190343-2,Animal Food; Human Food; Materials; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Peronema canescens,Jack,863995-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Petitia domingensis,Jacq.,864000-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Petraeovitex multiflora,(Sm.) Merr.,864012-1,Materials,False,Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Phlomidoschema parviflorum,(Benth.) Vved.,453773-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Phlomis crinita,Cav.,453862-1,Medicines,False,European Red List of Medicinal Plants (Allen et al. 2014); Medicinal Plant Names Services (MPNS)
Phlomis fruticosa,L.,453897-1,Environmental Uses; Human Food; Materials,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN)
Phlomis lychnitis,L.,453955-1,Human Food,False,Germplasm Resources Information Network from USDA (GRIN)
Phlomoides betonicoides,(Diels) Kamelin & Makhm.,947719-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Phlomoides laciniata,(L.) Kamelin & Makhm.,947735-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Phlomoides maximowiczii,(Regel) Kamelin & Makhm.,947684-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Phlomoides medicinalis,(Diels) Kamelin & Makhm.,947688-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Phlomoides molucelloides,(Bunge) Salmaki,77118440-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Phlomoides rotata,(Benth. ex Hook.f.) Mathiesen,77110366-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Phlomoides umbrosa,(Turcz.) Kamelin & Makhm.,947678-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Physostegia parviflora,Nutt. ex A.Gray,195676-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Physostegia virginiana,(L.) Benth.,30043311-2,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Piloblephis rigida,(W.Bartram ex Benth.) Raf.,454213-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Platostoma africanum,P.Beauv.,454218-1,Gene Sources; Human Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Platostoma coloratum,(D.Don) A.J.Paton,995893-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Platostoma grandiflorum,Suddee & A.J.Paton,77066755-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Platostoma hispidum,(L.) A.J.Paton,995885-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Platostoma menthoides,(L.) A.J.Paton,995890-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Platostoma palustre,(Blume) A.J.Paton,995915-1,Environmental Uses; Human Food; Medicines; Social Uses,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Platostoma rotundifolium,(Briq.) A.J.Paton,995931-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus aegyptiacus,(Forssk.) C.Chr.,454236-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus africanus,(Baker) A.J.Paton,77098785-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus alpinus,(Vatke) Ryding,1008549-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus ambiguus,(Bolus) Codd,454245-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus amboinicus,(Lour.) Spreng.,168806-3,Animal Food; Environmental Uses; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Social Uses,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA)
Plectranthus asirensis,J.R.I.Wood,907579-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus barbatus,Andrews,454267-1,Environmental Uses; Gene Sources; Human Food; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP)
Plectranthus baumii,Gürke,454269-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus bojeri,(Benth.) Hedge,1003907-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus caninus,Roth,454301-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus ciliatus,E.Mey.,454314-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus congestus,R.Br.,454327-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Plectranthus djalonensis,(A.Chev.) A.J.Paton,77098780-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus ecklonii,Benth.,454370-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus elegans,Britten,454373-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus esculentus,N.E.Br.,454384-1,Environmental Uses; Gene Sources; Human Food; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus forsteri,Benth.,454399-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Plectranthus fruticosus,L'Hér.,454404-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus glandulosus,Hook.f.,454415-1,Human Food; Materials,False,Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus gracillimus,(T.C.E.Fr.) T.C.E.Fr.,454421-1,Materials; Poisons,False,Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus grallatus,Briq.,454422-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus hadiensis,(Forssk.) Schweinf. ex Sprenger,454431-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus hereroensis,Engl.,454440-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Plectranthus lanuginosus,(Hochst. ex Benth.) Agnew,454496-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus laxiflorus,Benth.,454501-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus madagascariensis,(Pers.) Benth.,454523-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus malabaricus,(Benth.) R.H.Willemse,454528-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus mollis,(Aiton) Spreng.,454565-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus monostachyus,(P.Beauv.) B.J.Pollard,20003260-1,Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus montanus,Benth.,454571-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus neochilus,Schltr.,454585-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus oertendahlii,T.C.E.Fr.,454600-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Plectranthus ovatus,Benth.,454608-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus parviflorus,Willd.,454618-1,Environmental Uses; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Plectranthus punctatus,(L.f.) L'Hér.,454654-1,Gene Sources; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus rotundifolius,(Poir.) Spreng.,454668-1,Environmental Uses; Gene Sources; Human Food; Medicines; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Plectranthus rubropunctatus,Codd,454671-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Plectranthus scutellarioides,(L.) R.Br.,454698-1,Environmental Uses; Human Food; Materials; Medicines; Social Uses,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Plectranthus sylvestris,Gürke,454737-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus unguentarius,Codd,454764-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Plectranthus vestitus,Benth.,454771-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogogyne douglasii,Benth.,454810-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogostemon amaranthoides,Benth.,454817-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogostemon auricularius,(L.) Hassk.,454820-1,Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Pogostemon benghalensis,(Burm.f.) Kuntze,454823-1,Invertebrate Food; Materials; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Pogostemon cablin,(Blanco) Benth.,454827-1,Animal Food; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Malaria and Fever in Latin America dataset
Pogostemon elsholtzioides,Benth.,454836-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogostemon glaber,Benth.,454844-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogostemon heyneanus,Benth.,454848-1,Animal Food; Environmental Uses; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,
Pogostemon hortensis,Backer ex K.Heyne,454853-1,Animal Food; Human Food; Invertebrate Food; Materials; Medicines; Poisons; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Pogostemon myosuroides,(Roth) Kuntze,454874-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogostemon parviflorus,Benth.,454882-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Pogostemon plectranthoides,Desf.,454888-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogostemon purpurascens,Dalzell,454890-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogostemon stellatus,(Lour.) Kuntze,454904-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Pogostemon villosus,(Roxb.) Benth.,454916-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Poliomintha bustamanta,B.L.Turner,970631-1,Human Food,False,Germplasm Resources Information Network from USDA (GRIN)
Poliomintha incana,(Torr.) A.Gray,454926-1,Environmental Uses; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Prasium majus,L.,454986-1,Animal Food,False,Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Premna angolensis,Gürke,864177-1,Environmental Uses; Fuels; Human Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Premna barbata,Wall. ex Schauer,864193-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Premna bengalensis,C.B.Clarke,864194-1,Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Premna chrysoclada,(Bojer) Gürke,864212-1,Gene Sources; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP)
Premna cordifolia,Roxb.,864223-1,Environmental Uses; Human Food; Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Premna corymbosa,Rottler,864227-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Premna divaricata,Wall.,864239-1,Human Food; Materials; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Premna esculenta,Roxb.,864244-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Premna fordii,Dunn,864253-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Premna fulva,Craib,864256-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Premna glandulosa,Hand.-Mazz.,864263-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Premna henryana,(Hand.-Mazz.) C.Y.Wu,864272-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Premna herbacea,Roxb.,864273-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Premna hispida,Benth.,864275-1,Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Premna ligustroides,Hemsl.,864300-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Premna longifolia,Roxb.,864305-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Premna lucens,A.Chev.,864309-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Premna maxima,T.C.E.Fr.,864325-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plant Project (UPP)
Premna mollissima,Roth,864338-1,Fuels; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
