scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
tabernaemontana flavicans,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Brazil|Colombia|Peru|Venezuela (Bolivarian Republic of),South America
tabernaemontana gamblei,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,India,Southern Asia
tabernaemontana glabra,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Colombia|Costa Rica|Ecuador|El Salvador|Guatemala|Honduras|Mexico|Nicaragua|Panama|Peru,South America|Central America
tabernaemontana grandiflora,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,S,,,,,,,,,,,,,,Medicines,False,Brazil|Colombia|Costa Rica|Ecuador|French Guiana|Guyana|Mexico|Panama|Suriname|Venezuela (Bolivarian Republic of),South America|Central America
tabernaemontana heterophylla,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,woody,,,,,,,,Medicines,False,Bolivia (Plurinational State of)|Brazil|Colombia|Costa Rica|Ecuador|French Guiana|Guyana|Panama|Peru|Suriname|Venezuela (Bolivarian Republic of),South America|Central America
tabernaemontana humblotii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana hystrix,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,Medicines,False,Brazil,South America
tabernaemontana laeta,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,175.3864447,,,,,,woody,,,,,,,,,,Brazil,South America
tabernaemontana lagenaria,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|French Guiana|Peru,South America
tabernaemontana laurifolia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Cayman Islands|Jamaica,Caribbean
tabernaemontana leeuwenbergiana,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Ecuador,South America
tabernaemontana letestui,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Congo|Gabon,Middle Africa
tabernaemontana linkii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)|Brazil|French Guiana|Peru|Suriname,South America
tabernaemontana litoralis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (9) | moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,Environmental Uses,False,Colombia|Costa Rica|Guatemala|Honduras|Mexico|Nicaragua|Panama,South America|Central America
tabernaemontana longipes,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Costa Rica|Ecuador|Nicaragua|Panama|Venezuela (Bolivarian Republic of),South America|Central America
tabernaemontana lorifera,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil|Guyana|Suriname,South America
tabernaemontana macrocalyx,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Shrub,,,,,,,,,,,,,,,,Brazil|Colombia|Ecuador|French Guiana|Guyana|Peru|Suriname|Venezuela (Bolivarian Republic of),South America
tabernaemontana macrocarpa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,W,,,,,,,,Materials; Medicines,False,Brunei Darussalam|Indonesia|Malaysia|Philippines|Thailand,South-eastern Asia
tabernaemontana markgrafiana,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Shrub,,,,,,,,,,,,,,,,Brazil|Colombia|Ecuador|Panama|Peru|Venezuela (Bolivarian Republic of),South America|Central America
tabernaemontana maxima,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
tabernaemontana mocquerysii,,,,,,,,,,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana muricata,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Shrub,,,,,,,,,,,,,,Medicines,False,Brazil,South America
tabernaemontana ochroleuca,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,Caribbean
tabernaemontana odoratissima,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo|Rwanda|Uganda|United Republic of Tanzania,Middle Africa|Eastern Africa
tabernaemontana oppositifolia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,"Tree, Shrub",,,,,,,,,,,,,,,,Puerto Rico,Caribbean
tabernaemontana ovalifolia,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,Caribbean
tabernaemontana pachysiphon,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,shrub,,,,,,woody,,,,,,,,Environmental Uses; Fuels; Human Food; Materials; Medicines,False,Angola|Benin|Cameroon|Central African Republic|Democratic Republic of the Congo|Gabon|Ghana|Kenya|Malawi|Nigeria|Sao Tome and Principe|South Sudan|Togo|Uganda|United Republic of Tanzania|Zambia,Middle Africa|Western Africa|Eastern Africa
tabernaemontana palustris,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Herb/Shrub,,,,,,,,,,,,,,Medicines,False,Brazil|Colombia|Venezuela (Bolivarian Republic of),South America
tabernaemontana panamensis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,,,,,,,,,,,Colombia|Ecuador|Panama|Peru,South America|Central America
tabernaemontana pandacaqui,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Shrub,,,,,,woody,,,,,,,,Environmental Uses; Invertebrate Food; Materials; Medicines; Social Uses,False,American Samoa|Australia|China|Fiji|French Polynesia|Indonesia|Malaysia|New Caledonia|Northern Mariana Islands|Papua New Guinea|Philippines|Samoa|Thailand|Timor-Leste|Tonga|Vanuatu,Polynesia|Australia and New Zealand|Eastern Asia|Melanesia|South-eastern Asia|Micronesia
tabernaemontana pauciflora,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,woody,,,,,,,,Medicines; Poisons,False,Brunei Darussalam|Cambodia|Indonesia|Malaysia|Myanmar|Singapore|Thailand|Viet Nam,South-eastern Asia
tabernaemontana pauli,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Costa Rica,Central America
tabernaemontana peduncularis,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Cambodia|Malaysia|Myanmar|Thailand|Viet Nam,South-eastern Asia
tabernaemontana penduliflora,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,woody,,,,,,woody,,,,,,,,Fuels; Materials; Medicines,False,Cameroon|Central African Republic|Congo|Democratic Republic of the Congo|Gabon|Nigeria|South Sudan,Middle Africa|Western Africa|Eastern Africa
tabernaemontana persicariifolia,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,Free-standing,,,,,,W,,,,,,,,Materials; Medicines,False,Mauritius|Réunion,Eastern Africa
tabernaemontana phymata,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana polyneura,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
tabernaemontana remota,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Papua New Guinea,South-eastern Asia|Melanesia
tabernaemontana retusa,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,Materials,False,Madagascar,Eastern Africa
tabernaemontana robinsonii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Colombia|Costa Rica|Nicaragua|Panama,South America|Central America
tabernaemontana rupicola,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Shrub,,,,,,,,,,,,,,,,Brazil|Colombia|French Guiana|Guyana|Suriname|Venezuela (Bolivarian Republic of),South America
tabernaemontana salomonensis,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea|Solomon Islands,Melanesia
tabernaemontana salzmannii,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Shrub,,,,,,,,,,,,,,,,Brazil,South America
tabernaemontana sambiranensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana sananho,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,tree,,,,perennial,,woody,,,,,,,,Medicines,False,Brazil|Colombia|Ecuador|French Guiana|Guyana|Peru|Venezuela (Bolivarian Republic of),South America
tabernaemontana sessilifolia,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana siphilitica,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,tree,,,,perennial,,W,,,,,,,,Medicines,False,Bolivia (Plurinational State of)|Brazil|Colombia|Ecuador|French Guiana|Guyana|Peru|Suriname|Venezuela (Bolivarian Republic of),South America
tabernaemontana solanifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,Medicines,False,Brazil,South America
tabernaemontana sphaerocarpa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,woody,,,,,,woody,,,,,,,,Materials; Medicines; Poisons,False,Indonesia,South-eastern Asia
tabernaemontana stapfiana,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,tree,,,,,,woody,,,,,,,,Environmental Uses; Materials; Medicines,False,Burundi|Democratic Republic of the Congo|Kenya|Malawi|Mozambique|Rwanda|Uganda|United Republic of Tanzania|Zimbabwe,Eastern Africa|Middle Africa
tabernaemontana stellata,tropical (min temp coldest month 18°C or higher) (1),semi-arid (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
tabernaemontana stenosiphon,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Materials; Medicines,False,Sao Tome and Principe,Middle Africa
tabernaemontana thurstonii,,,,,,,,,T,,,,,,W,,,,,,,,Medicines,False,Fiji,Melanesia
tabernaemontana tomentosa,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,,,,,,,,,,,,,,,,,Mexico,Central America
tabernaemontana undulata,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,W,,,,,,,,Materials; Medicines,False,Brazil|Colombia|Costa Rica|Ecuador|French Guiana|Guyana|Panama|Peru|Suriname|Trinidad and Tobago|Venezuela (Bolivarian Republic of),South America|Central America|Caribbean
tabernaemontana vanheurckii,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Shrub,,,,,,,,,,,,,,Medicines,False,Bolivia (Plurinational State of)|Brazil|Colombia|Peru,South America
tabernaemontana ventricosa,tropical (min temp coldest month less than 18°C) (9),wet (9) | moist (9) | dry sub-humid (9),,,,,,,shrub,,,,,,W,,,,,,,,Human Food; Materials; Medicines,False,Burundi|Cameroon|Democratic Republic of the Congo|Kenya|Malawi|Mozambique|Nigeria|South Africa|Uganda|United Republic of Tanzania|Zimbabwe,Eastern Africa|Middle Africa|Western Africa|Southern Africa
tabernaemontana wullschlaegelii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree (T),,,,,,,,,,,,,,,,Jamaica,Caribbean
tabernanthe iboga,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,,,,,,,W,,,,,,,,Human Food; Medicines; Social Uses,False,Angola|Cameroon|Central African Republic|Congo|Democratic Republic of the Congo|Gabon,Middle Africa
voacanga africana,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,herb,,,,,,W,,,,,,,,Environmental Uses; Fuels; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,Angola|Benin|Burkina Faso|Burundi|Cameroon|Central African Republic|Congo|Côte dIvoire|Democratic Republic of the Congo|Equatorial Guinea|Gabon|Gambia|Ghana|Guinea|Guinea-Bissau|Kenya|Liberia|Malawi|Mali|Mozambique|Nigeria|Sao Tome and Principe|Senegal|Sierra Leone|South Sudan|Togo|Uganda|United Republic of Tanzania|Zambia|Zimbabwe,Middle Africa|Western Africa|Eastern Africa
voacanga bracteata,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,,Materials; Medicines,False,Benin|Cameroon|Central African Republic|Congo|Côte dIvoire|Democratic Republic of the Congo|Equatorial Guinea|Gabon|Ghana|Guinea|Liberia|Nigeria|Sierra Leone,Western Africa|Middle Africa
voacanga caudiflora,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Côte dIvoire|Ghana|Liberia|Sierra Leone,Western Africa
voacanga chalotiana,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Angola|Congo|Democratic Republic of the Congo|Gabon|South Sudan,Middle Africa|Eastern Africa
voacanga foetida,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,woody,,,,,,,,Materials; Medicines,False,Indonesia|Malaysia|Philippines,South-eastern Asia
voacanga globosa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Medicines; Poisons,False,Philippines,South-eastern Asia
voacanga gracilipes,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
voacanga grandifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,woody,,,,,,,,Invertebrate Food; Materials; Medicines,False,Australia|Indonesia|Papua New Guinea|Philippines,Australia and New Zealand|South-eastern Asia|Melanesia
voacanga havilandii,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
voacanga megacarpa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
voacanga pachyceras,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo,Middle Africa
voacanga psilocalyx,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Cameroon|Congo|Gabon|Nigeria,Middle Africa|Western Africa
voacanga thouarsii,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,tree,,,,,,W,,,,,,,,Environmental Uses; Fuels; Human Food; Materials; Medicines,False,Angola|Burkina Faso|Cameroon|Central African Republic|Congo|Côte dIvoire|Democratic Republic of the Congo|Gambia|Ghana|Guinea|Guinea-Bissau|Kenya|Liberia|Madagascar|Malawi|Mali|Mozambique|Nigeria|Rwanda|Senegal|Sierra Leone|South Africa|South Sudan|Uganda|United Republic of Tanzania|Zambia|Zimbabwe,Middle Africa|Western Africa|Eastern Africa|Southern Africa
petchia cryptophlebia,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Madagascar,Eastern Africa
petchia erythrocarpa,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Comoros|Madagascar|Mayotte,Eastern Africa
petchia madagascariensis,tropical (min temp coldest month 18°C or higher) (1),wet (9) | moist (9),,,,,,,Tree,,,,,,W,,,,,,,,Gene Sources; Human Food; Materials; Medicines,False,Madagascar,Eastern Africa
petchia montana,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
petchia plectaneiifolia,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
kopsia angustipetala,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,,,,,,,,,,,,,,,,,Lao People's Democratic Republic|Thailand,South-eastern Asia
kopsia arborea,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Tree,,,,,,woody,,,,,,,,Environmental Uses; Medicines; Poisons,False,"Australia|China|China, Hong Kong Special Administrative Region|Indonesia|Malaysia|Philippines|Thailand|Timor-Leste|Viet Nam",Australia and New Zealand|Eastern Asia|South-eastern Asia
kopsia dasyrachis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
kopsia deverrei,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
kopsia flavida,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Environmental Uses; Medicines; Poisons,False,Indonesia|Palau|Papua New Guinea|Philippines|Solomon Islands|Vanuatu,South-eastern Asia|Micronesia|Melanesia
kopsia fruticosa,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,W,,,,,,,,Environmental Uses; Materials; Medicines,False,India|Myanmar,Southern Asia|South-eastern Asia
kopsia grandifolia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Malaysia,South-eastern Asia
kopsia griffithii,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
kopsia hainanensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
kopsia harmandiana,,,,,,,,,,,,,,,,,,,,,,,,,Viet Nam,South-eastern Asia
kopsia lapidilecta,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
kopsia larutensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Environmental Uses; Medicines,False,Malaysia|Thailand,South-eastern Asia
kopsia macrophylla,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,Environmental Uses; Medicines,False,Malaysia|Singapore,South-eastern Asia
kopsia pauciflora,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Environmental Uses; Medicines,False,Brunei Darussalam|Cambodia|Indonesia|Malaysia|Thailand,South-eastern Asia
kopsia profunda,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
kopsia rajangensis,,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
kopsia rosea,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia|Thailand,South-eastern Asia
kopsia singapurensis,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,Environmental Uses; Materials; Medicines,False,Malaysia|Singapore,South-eastern Asia
kopsia sleeseniana,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Malaysia,South-eastern Asia
