species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Melicope macrocarpa,4,0.37,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope madagascariensis,60,-0.26,0.14,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope makahae,1,0.48,0.48,0,1,0,0,0,0,0,wet (1)
Melicope margaretae,8,0.33,0.39,0,1,0,0,0,0,0,wet (1)
Melicope micrococca,1288,-0.34,0.32,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope molokaiensis,12,0.17,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope mucronulata,2,0.11,0.18,0,1,0,0,0,0,0,wet (1)
Melicope munroi,2,0.56,0.63,1,0,0,0,0,0,0,very wet (1)
Melicope nukuhivensis,3,0.3,0.43,0,1,0,0,0,0,0,wet (1)
Melicope oahuensis,2,0.64,0.76,1,0,0,0,0,0,0,very wet (1)
Melicope obtusifolia,16,0.26,0.48,0,1,0,0,0,0,0,wet (1)
Melicope orbicularis,7,0.36,0.78,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope ovata,6,-0.2,0.09,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope pallida,1,-0.15,-0.15,0,0,1,0,0,0,0,moist (1)
Melicope paniculata,3,0.63,0.78,1,0,0,0,0,0,0,very wet (1)
Melicope peduncularis,11,-0.24,0.78,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope polyadenia,7,0.4,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope polybotrya,7,0.47,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope ponapensis,1,0.7,0.7,1,0,0,0,0,0,0,very wet (1)
Melicope pseudoanisata,11,0.25,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope pteleifolia,140,-0.28,0.68,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope puberula,4,0.2,0.8,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope radiata,2,0.26,0.4,0,1,0,0,0,0,0,wet (1)
Melicope remyi,1,0.5,0.5,1,0,0,0,0,0,0,very wet (1)
Melicope revoluta,4,0.3,0.38,0,1,0,0,0,0,0,wet (1)
Melicope richii,3,0.68,0.72,1,0,0,0,0,0,0,very wet (1)
Melicope rotundifolia,1,0.76,0.76,1,0,0,0,0,0,0,very wet (1)
Melicope rubra,221,-0.06,0.61,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope sambiranensis,5,-0.08,0.08,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope semecarpifolia,81,0.48,0.7,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope sessilis,8,-0.1,0.78,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope sororia,7,0.37,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope spathulata,7,-0.26,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope suberosa,2,0.33,0.43,0,1,0,0,0,0,0,wet (1)
Melicope subunifoliolata,15,0.4,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope tahitensis,3,0.33,0.43,0,1,0,0,0,0,0,wet (1)
Melicope ternata,194,0.16,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope triphylla,101,-0.29,0.69,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope tsaratananensis,8,-0.05,0.09,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope vieillardii,19,0.32,0.68,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope viticina,18,-0.43,0.36,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
