species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Croton compressus,14,-0.26,-0.07,0,0,1,0,0,0,0,moist (1)
Croton confertus,17,-0.98,-0.9,0,0,0,0,0,2,3,arid (2) | hyper-arid (3)
Croton coriaceus,23,-0.37,0.31,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton coriifolius,2,0.33,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton corinthius,5,0.58,0.6,1,0,0,0,0,0,0,very wet (1)
Croton cortesianus,529,-0.65,0.08,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton corylifolius,18,-0.65,0.33,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton costatus,25,0.02,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton crossolepis,5,-0.69,-0.67,0,0,0,0,1,0,0,semi-arid (1)
Croton cuneatus,314,0.04,0.51,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton cupreatus,12,-0.32,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton cupreolepis,29,-0.34,0.58,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton curranii,6,-0.42,0.06,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton damayeshu,5,-0.05,0.2,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton decalobus,16,-0.32,0.63,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton delpyi,9,0.03,0.29,0,1,0,0,0,0,0,wet (1)
Croton deserticola,2,-0.46,-0.35,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Croton diasii,4,-0.01,0.47,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton dichogamus,54,-0.7,-0.27,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton dictyophlebodes,4,-0.4,-0.12,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Croton discolor,53,-0.62,0.17,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton dispar,9,-0.26,0.35,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton dissectistipulatus,4,0.3,0.33,0,1,0,0,0,0,0,wet (1)
Croton domatifer,1,-0.36,-0.36,0,0,0,1,0,0,0,dry sub-humid (1)
Croton draco,799,-0.41,0.55,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Croton draconoides,28,-0.27,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton eichleri,2,0.01,0.09,0,1,0,0,0,0,0,wet (1)
Croton ekmanii,8,0.33,0.49,0,1,0,0,0,0,0,wet (1)
Croton eluteria,22,-0.49,0.13,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton enigmaticus,6,-0.13,0.15,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton erythrostachys,19,0.31,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton euryphyllus,21,-0.46,0.36,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton fantzianus,27,-0.66,-0.04,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton fianarantsoae,50,-0.25,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton flavens,208,-0.57,0.24,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton flavispicatus,38,-0.49,0.24,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton floribundus,329,-0.44,0.31,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton fragilis,128,-0.7,0.0,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton fragrans,47,-0.37,0.46,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton fragrantulus,5,-0.29,0.09,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton gageianus,2,-0.4,0.45,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton gibsonianus,1,0.06,0.06,0,1,0,0,0,0,0,wet (1)
Croton glabellus,348,-0.46,0.41,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton gossypiifolius,107,-0.42,0.49,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton goudotii,69,-0.31,0.23,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton gracilipes,245,-0.63,0.07,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton gratissimus,458,-0.83,-0.3,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Croton greveanus,49,-0.68,0.05,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton grewiifolius,21,-0.54,0.06,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton griffithii,29,0.05,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton grisebachianus,2,-0.18,0.3,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton griseus,2,0.31,0.31,0,1,0,0,0,0,0,wet (1)
Croton guatemalensis,267,-0.46,0.41,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton guianensis,42,-0.1,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton habrophyllus,153,-0.68,0.06,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton haumanianus,33,-0.13,0.23,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton heliotropiifolius,915,-0.71,0.03,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton hemiargyreus,12,-0.52,0.17,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton heteranthus,9,-0.14,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton heterocarpus,13,0.22,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton heterotrichus,2,0.62,0.7,1,0,0,0,0,0,0,very wet (1)
Croton hibiscifolius,60,-0.16,0.54,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton hircinus,29,-0.65,0.43,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton hoffmannii,23,0.23,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton hostmannii,20,-0.07,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton howii,3,0.0,0.1,0,1,0,0,0,0,0,wet (1)
Croton huberi,4,-0.32,-0.13,0,0,1,0,0,0,0,moist (1)
Croton huitotorum,1,0.01,0.01,0,1,0,0,0,0,0,wet (1)
Croton humblotii,2,0.43,0.43,0,1,0,0,0,0,0,wet (1)
Croton hutchinsonianus,13,-0.44,0.19,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton icche,75,-0.56,-0.22,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton impressus,29,-0.38,0.32,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton inhambanensis,4,-0.46,-0.44,0,0,0,1,0,0,0,dry sub-humid (1)
Croton insularis,551,-0.6,0.33,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton isomonensis,7,-0.71,-0.39,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton jacmelianus,6,-0.47,-0.34,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Croton jamaicensis,1,-0.32,-0.32,0,0,1,0,0,0,0,moist (1)
Croton jamesonii,1,-0.99,-0.99,0,0,0,0,0,0,1,hyper-arid (1)
Croton jansii,2,-0.04,-0.03,0,0,1,0,0,0,0,moist (1)
Croton jatrophoides,7,-0.45,0.01,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton jimenezii,14,0.43,0.67,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton jorgei,20,0.64,0.78,1,0,0,0,0,0,0,very wet (1)
Croton joufra,3,0.0,0.21,0,1,0,0,0,0,0,wet (1)
Croton kerrii,9,-0.36,0.1,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton killipianus,80,0.14,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton klotzschianus,3,-0.03,0.22,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton kongensis,31,-0.39,0.46,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton kongkandanus,2,-0.15,0.25,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton laccifer,8,-0.49,0.48,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton laciniatistylus,4,-0.37,-0.27,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Croton laevigatus,8,-0.2,0.32,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton lagoensis,7,-0.01,0.2,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton laurinus,6,0.16,0.37,0,1,0,0,0,0,0,wet (1)
Croton lechleri,252,-0.29,0.65,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton leiophyllus,16,-0.17,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton leuconeurus,8,-0.69,-0.03,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton levatii,3,0.51,0.57,1,0,0,0,0,0,0,very wet (1)
Croton limae,43,-0.62,-0.29,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton lissophyllus,4,-0.29,0.85,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton longipedicellatus,18,-0.64,-0.26,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton longiracemosus,20,0.04,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton luciae,1,0.3,0.3,0,1,0,0,0,0,0,wet (1)
Croton lucidus,52,-0.52,0.2,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton luetzelburgii,54,-0.58,-0.19,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton maasii,2,0.39,0.4,0,1,0,0,0,0,0,wet (1)
Croton macrobothrys,85,-0.36,0.43,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton macrodontus,22,0.01,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton macrostachyus,234,-0.51,0.27,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton madandensis,12,-0.77,-0.39,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton maevaranensis,2,0.06,0.11,0,1,0,0,0,0,0,wet (1)
Croton magneticus,25,-0.64,0.04,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton malabaricus,1,0.54,0.54,1,0,0,0,0,0,0,very wet (1)
Croton malambo,8,-0.7,-0.09,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton mallotophyllus,2,0.38,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton matourensis,282,-0.09,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton mayumbensis,8,-0.03,0.43,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton medusae,5,-0.41,0.09,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton megaladenus,2,0.2,0.2,0,1,0,0,0,0,0,wet (1)
Croton megalobotrys,163,-0.8,-0.63,0,0,0,0,1,0,0,semi-arid (1)
Croton megalocarpoides,12,-0.53,0.04,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton megalocarpus,69,-0.66,0.19,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton megalodendron,23,-0.39,0.36,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton megistocarpus,65,0.27,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton menthodorus,37,-0.59,0.2,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton menyharthii,81,-0.83,-0.3,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Croton metallicus,1,0.56,0.56,1,0,0,0,0,0,0,very wet (1)
Croton mexicanus,30,-0.41,0.53,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Croton micans,46,-0.65,0.35,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton microtiglium,4,-0.08,0.63,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton mocquerysii,3,0.51,0.57,1,0,0,0,0,0,0,very wet (1)
Croton mongue,104,-0.24,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton morobensis,18,0.26,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton morotaeus,5,0.35,0.39,0,1,0,0,0,0,0,wet (1)
Croton mubango,17,-0.41,0.26,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton multicostatus,14,-0.47,-0.01,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Croton muriculatus,5,0.38,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton mutisianus,65,-0.08,0.54,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton myriaster,43,-0.24,0.31,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton neblinae,1,0.47,0.47,0,1,0,0,0,0,0,wet (1)
Croton nitens,84,-0.55,0.54,2,9,9,9,3,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton nitidulus,124,-0.11,0.37,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton nitrariifolius,7,-0.11,0.16,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton niveus,506,-0.66,0.38,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton nobilis,23,-0.46,0.02,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton nubigenus,13,0.12,0.43,0,1,0,0,0,0,0,wet (1)
Croton nuntians,10,0.07,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton oblongus,123,0.19,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton oerstedianus,124,-0.55,-0.06,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton oligandrus,36,-0.04,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton oliganthus,1,-0.46,-0.46,0,0,0,1,0,0,0,dry sub-humid (1)
Croton organensis,30,-0.07,0.32,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton origanifolius,29,-0.59,0.28,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton orinocensis,22,-0.1,0.39,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton pachypodus,105,-0.01,0.64,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton palanostigma,192,0.01,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton pavonis,14,-0.64,0.38,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton pendens,2,-0.33,-0.27,0,0,1,0,0,0,0,moist (1)
Croton penduliflorus,31,-0.4,0.43,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton persimilis,41,-0.42,0.34,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton perspeciosus,18,-0.43,0.05,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton phebalioides,323,-0.68,-0.02,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton pilophorus,4,0.3,0.44,0,1,0,0,0,0,0,wet (1)
Croton piluliferum,11,-0.68,-0.18,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton piptocalyx,18,-0.13,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton plagiographus,4,-0.59,-0.37,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton poecilanthus,17,0.24,0.45,0,1,0,0,0,0,0,wet (1)
Croton poggei,1,0.49,0.49,0,1,0,0,0,0,0,wet (1)
Croton poilanei,15,-0.33,0.43,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton polypleurus,4,0.11,0.36,0,1,0,0,0,0,0,wet (1)
Croton polytrichus,28,-0.61,-0.25,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton poomae,4,0.4,0.47,0,1,0,0,0,0,0,wet (1)
Croton potabilis,1,0.3,0.3,0,1,0,0,0,0,0,wet (1)
Croton priscus,9,-0.27,0.57,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton pseudoniveus,105,-0.61,0.06,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton pseudopulchellus,95,-0.75,-0.06,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton pullei,38,0.04,0.47,0,1,0,0,0,0,0,wet (1)
Croton pungens,63,-0.31,0.58,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton purdiei,12,-0.16,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton pyrifolius,1,-0.35,-0.35,0,0,1,0,0,0,0,moist (1)
Croton quadrisetosus,17,-0.58,-0.01,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton quercetorum,1,-0.31,-0.31,0,0,1,0,0,0,0,moist (1)
Croton reflexifolius,305,-0.6,0.26,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton regeneratrix,4,0.01,0.11,0,1,0,0,0,0,0,wet (1)
Croton rimbachii,28,-0.39,0.56,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Croton ripensis,2,0.69,0.69,1,0,0,0,0,0,0,very wet (1)
Croton rivinifolius,33,-0.83,-0.14,0,0,2,9,9,3,0,moist (2) | dry sub-humid (9) | semi-arid (9) | arid (3)
Croton robustus,21,-0.37,0.32,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton roraimensis,5,-0.08,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton rosarianus,5,0.35,0.36,0,1,0,0,0,0,0,wet (1)
Croton rosmarinoides,8,-0.3,0.02,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton rottlerifolius,17,-0.18,0.02,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton roxanae,60,-0.54,-0.12,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton rufoargenteus,2,-0.53,-0.49,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton rufolepidotus,5,0.48,0.6,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton ruizianus,39,-0.94,0.04,0,2,9,9,9,3,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (9) | arid (3)
Croton rusbyi,24,-0.14,0.28,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton sacaquinha,14,0.07,0.46,0,1,0,0,0,0,0,wet (1)
Croton salutaris,20,-0.27,0.24,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton sampatik,83,-0.16,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton sapiifolius,7,-0.04,0.42,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton sarocarpus,6,-0.9,-0.85,0,0,0,0,0,1,0,arid (1)
Croton scheffleri,25,-0.67,-0.21,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton schiedeanus,913,-0.32,0.6,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton schimperianus,6,-0.71,-0.39,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton scoriarum,3,-0.22,-0.1,0,0,1,0,0,0,0,moist (1)
Croton scouleri,6,-0.78,0.1,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton scutatus,19,0.16,0.46,0,1,0,0,0,0,0,wet (1)
Croton sepalinus,2,-0.27,0.04,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton sexmetralis,6,-0.36,0.34,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton sincorensis,46,-0.52,0.29,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton singularis,9,0.31,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton sipaliwinensis,4,0.32,0.4,0,1,0,0,0,0,0,wet (1)
Croton smithianus,104,-0.02,0.59,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton socotranus,12,-0.94,-0.88,0,0,0,0,0,1,0,arid (1)
Croton soratensis,7,-0.67,-0.43,0,0,0,2,3,0,0,dry sub-humid (2) | semi-arid (3)
Croton sousae,2,-0.34,0.55,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton speciosus,8,-0.23,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton sphaerogynus,17,-0.21,0.46,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton spruceanus,32,-0.16,0.48,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton stanneum,30,-0.6,0.04,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton steenkampianus,23,-0.67,-0.27,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton stelluliferus,1,0.7,0.7,1,0,0,0,0,0,0,very wet (1)
Croton stigmatosus,134,-0.38,0.3,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton suberosus,173,-0.61,-0.22,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton sublyratus,1,-0.15,-0.15,0,0,1,0,0,0,0,moist (1)
Croton submetallicus,86,-0.04,0.35,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton sulcifructus,7,-0.94,-0.74,0,0,0,0,2,3,0,semi-arid (2) | arid (3)
Croton sylvaticus,193,-0.49,0.34,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton tabascensis,9,-0.56,0.13,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton talaeporos,8,-0.77,-0.1,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton tarapotensis,8,-0.33,0.45,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton tchibangensis,4,0.14,0.16,0,1,0,0,0,0,0,wet (1)
Croton tenuicaudatus,25,0.4,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton tessmannii,67,-0.16,0.63,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton thomasii,4,0.21,0.39,0,1,0,0,0,0,0,wet (1)
Croton thorelii,11,-0.25,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton tiglium,110,-0.39,0.59,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Croton tomentellus,88,-0.57,-0.21,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton tonduzii,7,-0.04,0.59,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton triacros,69,-0.1,0.62,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton tricolor,173,-0.66,0.01,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton trombetensis,6,0.16,0.25,0,1,0,0,0,0,0,wet (1)
Croton urucurana,379,-0.38,0.17,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton vatomandrensis,13,0.31,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton vaughanii,1,0.36,0.36,0,1,0,0,0,0,0,wet (1)
Croton verapazensis,14,-0.45,0.37,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton verreauxii,1061,-0.23,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton verrucosus,28,-0.39,0.27,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton vogelianus,2,0.26,0.32,0,1,0,0,0,0,0,wet (1)
Croton vulnerarius,25,-0.31,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton wallichii,4,-0.07,0.23,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton wassi-kussae,4,-0.12,0.56,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Croton watsonii,56,-0.63,0.4,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton websteri,9,-0.33,0.08,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton wellensii,14,-0.14,0.44,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton womersleyi,12,0.1,0.53,2,3,0,0,0,0,0,very wet (2) | wet (3)
Croton xalapensis,249,-0.43,0.42,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Croton xanthochylus,2,-0.27,0.33,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton yavitensis,27,-0.19,0.11,0,2,3,0,0,0,0,wet (2) | moist (3)
Croton ynesae,26,-0.52,-0.12,0,0,2,9,3,0,0,moist (2) | dry sub-humid (9) | semi-arid (3)
Croton yucatanensis,48,-0.56,0.31,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Croton zeylanicus,4,-0.49,0.36,0,2,9,3,0,0,0,wet (2) | moist (9) | dry sub-humid (3)
Crotonogyne caterviflora,95,-0.03,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Crotonogyne gabunensis,153,0.0,0.56,2,3,0,0,0,0,0,very wet (2) | wet (3)
Crotonogyne giorgii,19,-0.01,0.22,0,2,3,0,0,0,0,wet (2) | moist (3)
Crotonogyne manniana,57,-0.04,0.5,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Crotonogyne neglecta,4,0.41,0.5,2,3,0,0,0,0,0,very wet (2) | wet (3)
Crotonogyne poggei,55,-0.03,0.49,0,2,3,0,0,0,0,wet (2) | moist (3)
Crotonogyne preussii,32,0.45,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Crotonogyne zenkeri,26,0.37,0.48,0,1,0,0,0,0,0,wet (1)
Crotonogynopsis akeassii,7,-0.05,0.36,0,2,3,0,0,0,0,wet (2) | moist (3)
Crotonogynopsis korupensis,3,0.35,0.47,0,1,0,0,0,0,0,wet (1)
