species|n|Q05|Q95|A|B|C|D|E|F|G
Croton vulnerarius|25|-0.31|0.51|2|9|3|0|0|0|0
Croton wallichii|4|-0.07|0.23|0|2|3|0|0|0|0
Croton wassi-kussae|4|-0.12|0.56|2|9|3|0|0|0|0
Croton watsonii|56|-0.63|0.4|0|2|9|9|3|0|0
Croton websteri|9|-0.33|0.08|0|2|3|0|0|0|0
Croton wellensii|14|-0.14|0.44|0|2|3|0|0|0|0
Croton womersleyi|12|0.1|0.53|2|3|0|0|0|0|0
Croton xalapensis|249|-0.43|0.42|0|2|9|3|0|0|0
Croton xanthochylus|2|-0.27|0.33|0|2|3|0|0|0|0
Croton yavitensis|27|-0.19|0.11|0|2|3|0|0|0|0
Croton ynesae|26|-0.52|-0.12|0|0|2|9|3|0|0
Croton yucatanensis|48|-0.56|0.31|0|2|9|9|3|0|0
Croton zeylanicus|4|-0.49|0.36|0|2|9|3|0|0|0
Crotonogyne caterviflora|95|-0.03|0.51|2|9|3|0|0|0|0
Crotonogyne gabunensis|153|0|0.56|2|3|0|0|0|0|0
Crotonogyne giorgii|19|-0.01|0.22|0|2|3|0|0|0|0
Crotonogyne manniana|57|-0.04|0.5|2|9|3|0|0|0|0
Crotonogyne neglecta|4|0.41|0.5|2|3|0|0|0|0|0
Crotonogyne poggei|55|-0.03|0.49|0|2|3|0|0|0|0
Crotonogyne preussii|32|0.45|0.57|2|3|0|0|0|0|0
Crotonogyne zenkeri|26|0.37|0.48|0|1|0|0|0|0|0
Crotonogynopsis akeassii|7|-0.05|0.36|0|2|3|0|0|0|0
Crotonogynopsis korupensis|3|0.35|0.47|0|1|0|0|0|0|0
Crotonogynopsis usambarica|12|-0.12|0.35|0|2|3|0|0|0|0
Crudia abbreviata|20|-0.15|0|0|2|3|0|0|0|0
Crudia acuminata|25|-0.03|0.69|2|9|3|0|0|0|0
Crudia aequalis|14|-0.32|0.45|0|2|3|0|0|0|0
Crudia amazonica|77|0.18|0.5|2|3|0|0|0|0|0
Crudia aromatica|19|0.1|0.54|2|3|0|0|0|0|0
Crudia bantamensis|6|0.31|0.66|2|3|0|0|0|0|0
Crudia beccarii|3|0.32|0.56|2|3|0|0|0|0|0
Crudia blancoi|1|0.05|0.05|0|1|0|0|0|0|0
Crudia bracteata|16|0.26|0.52|2|3|0|0|0|0|0
Crudia caudata|5|0.28|0.59|2|3|0|0|0|0|0
Crudia chrysantha|4|-0.42|0.43|0|2|9|3|0|0|0
Crudia curtisii|5|0.32|0.5|2|3|0|0|0|0|0
Crudia dewitii|1|0.61|0.61|1|0|0|0|0|0|0
Crudia gabonensis|67|0.04|0.54|2|3|0|0|0|0|0
Crudia glaberrima|130|0.01|0.67|2|3|0|0|0|0|0
Crudia gracilis|2|0.28|0.37|0|1|0|0|0|0|0
Crudia harmsiana|8|-0.1|0.42|0|2|3|0|0|0|0
Crudia katikii|3|0.48|0.57|2|3|0|0|0|0|0
Crudia klainei|44|-0.06|0.54|2|9|3|0|0|0|0
Crudia lanceolata|3|0.17|0.39|0|1|0|0|0|0|0
Crudia laurentii|1|0.11|0.11|0|1|0|0|0|0|0
Crudia ledermannii|15|0.03|0.45|0|1|0|0|0|0|0
Crudia letouzeyi|2|-0.11|0.55|2|9|3|0|0|0|0
Crudia liberica|1|0.47|0.47|0|1|0|0|0|0|0
Crudia michelsonii|1|0.14|0.14|0|1|0|0|0|0|0
Crudia oblonga|45|0.09|0.55|2|3|0|0|0|0|0
Crudia ornata|7|0.06|0.51|2|3|0|0|0|0|0
Crudia papuana|16|0.18|0.66|2|3|0|0|0|0|0
Crudia reticulata|33|0.13|0.56|2|3|0|0|0|0|0
Crudia ripicola|4|0.21|0.6|2|3|0|0|0|0|0
Crudia senegalensis|36|-0.38|0.6|2|9|9|3|0|0|0
Crudia spicata|3|-0.1|0.53|2|9|3|0|0|0|0
Crudia subsimplicifolia|13|0.21|0.58|2|3|0|0|0|0|0
Crudia tenuipes|32|0.07|0.62|2|3|0|0|0|0|0
Crudia teysmannii|4|0.55|0.57|1|0|0|0|0|0|0
Crudia tomentosa|24|-0.07|0.53|2|9|3|0|0|0|0
Crudia velutina|3|0.34|0.51|2|3|0|0|0|0|0
Crudia viridiflora|1|0.32|0.32|0|1|0|0|0|0|0
Crudia wrayi|4|0.48|0.6|2|3|0|0|0|0|0
Crudia zenkeri|36|0.07|0.48|0|1|0|0|0|0|0
Crumenaria decumbens|82|-0.73|-0.35|0|0|2|9|3|0|0
Cryosophila bartlettii|4|0.46|0.5|2|3|0|0|0|0|0
Cryosophila cookii|6|0.46|0.59|2|3|0|0|0|0|0
Cryosophila grayumii|20|0.13|0.52|2|3|0|0|0|0|0
Cryosophila guagara|28|0.22|0.54|2|3|0|0|0|0|0
Cryosophila kalbreyeri|34|-0.2|0.57|2|9|3|0|0|0|0
Cryosophila macrocarpa|3|0.67|0.69|1|0|0|0|0|0|0
Cryosophila nana|66|-0.48|0.01|0|2|9|3|0|0|0
Cryosophila stauracantha|171|-0.44|0.49|0|2|9|3|0|0|0
Cryosophila warscewiczii|97|0.42|0.62|2|3|0|0|0|0|0
Cryosophila williamsii|6|0.05|0.26|0|1|0|0|0|0|0
Crypteronia borneensis|4|0.44|0.56|2|3|0|0|0|0|0
Crypteronia cumingii|22|0.22|0.62|2|3|0|0|0|0|0
Crypteronia elegans|2|0.55|0.59|1|0|0|0|0|0|0
Crypteronia glabriflora|4|0.52|0.6|1|0|0|0|0|0|0
Crypteronia griffithii|33|0.25|0.62|2|3|0|0|0|0|0
Crypteronia macrophylla|17|0.44|0.64|2|3|0|0|0|0|0
Crypteronia paniculata|69|-0.24|0.66|2|9|3|0|0|0|0
Cryptocarya acuminata|4|0.32|0.45|0|1|0|0|0|0|0
Cryptocarya acutifolia|4|0.06|0.32|0|1|0|0|0|0|0
Cryptocarya agathophylla|11|-0.03|0.26|0|2|3|0|0|0|0
Cryptocarya alba|139|-0.71|0.13|0|2|9|9|3|0|0
Cryptocarya albifrons|2|0.11|0.18|0|1|0|0|0|0|0
Cryptocarya alleniana|5|0.35|0.62|2|3|0|0|0|0|0
Cryptocarya alseodaphnifolia|2|0.1|0.1|0|1|0|0|0|0|0
Cryptocarya alticola|1|0.51|0.51|1|0|0|0|0|0|0
Cryptocarya ampla|3|0.55|0.7|1|0|0|0|0|0|0
Cryptocarya amygdalina|12|-0.37|0.36|0|2|9|3|0|0|0
Cryptocarya angulata|157|0.01|0.66|2|3|0|0|0|0|0
Cryptocarya angustifolia|9|-0.81|-0.33|0|0|2|9|9|3|0
Cryptocarya apamifolia|4|0.22|0.46|0|1|0|0|0|0|0
Cryptocarya aristata|24|0.23|0.68|2|3|0|0|0|0|0
Cryptocarya aschersoniana|171|-0.16|0.38|0|2|3|0|0|0|0
Cryptocarya aureosericea|6|0.18|0.5|2|3|0|0|0|0|0
Cryptocarya bamagana|17|-0.08|0.26|0|2|3|0|0|0|0
Cryptocarya barbellata|1|0.44|0.44|0|1|0|0|0|0|0
Cryptocarya bernhardiensis|1|0.42|0.42|0|1|0|0|0|0|0
Cryptocarya bhutanica|2|0.41|0.63|2|3|0|0|0|0|0
Cryptocarya bidwillii|216|-0.4|0.33|0|2|9|3|0|0|0
Cryptocarya bitriplinervia|2|0.01|0.57|2|3|0|0|0|0|0
Cryptocarya botelhensis|9|0.11|0.19|0|1|0|0|0|0|0
Cryptocarya brachythyrsa|3|0.06|0.32|0|1|0|0|0|0|0
Cryptocarya brassii|55|-0.06|0.29|0|2|3|0|0|0|0
Cryptocarya brevipes|1|0.69|0.69|1|0|0|0|0|0|0
Cryptocarya bullata|3|0.56|0.64|1|0|0|0|0|0|0
Cryptocarya burckeana|3|0.29|0.3|0|1|0|0|0|0|0
Cryptocarya caesia|5|0.35|0.4|0|1|0|0|0|0|0
Cryptocarya cagayanensis|15|0.01|0.62|2|3|0|0|0|0|0
Cryptocarya calcicola|9|0.01|0.23|0|1|0|0|0|0|0
Cryptocarya capuronii|4|-0.03|0.42|0|2|3|0|0|0|0
Cryptocarya caryoptera|1|0.43|0.43|0|1|0|0|0|0|0
Cryptocarya celebica|1|0.24|0.24|0|1|0|0|0|0|0
Cryptocarya chanthaburiensis|2|-0.15|-0.15|0|0|1|0|0|0|0
Cryptocarya chartacea|4|0.06|0.45|0|1|0|0|0|0|0
Cryptocarya chinensis|99|0.13|0.7|2|3|0|0|0|0|0
Cryptocarya chingii|38|0.06|0.41|0|1|0|0|0|0|0
Cryptocarya citriformis|4|-0.18|-0.16|0|0|1|0|0|0|0
Cryptocarya clarksoniana|82|0.1|0.56|2|3|0|0|0|0|0
Cryptocarya claudiana|46|-0.02|0.3|0|2|3|0|0|0|0
Cryptocarya cocosoides|50|-0.1|0.52|2|9|3|0|0|0|0
Cryptocarya concinna|55|0.14|0.7|2|3|0|0|0|0|0
Cryptocarya constricta|1|0.62|0.62|1|0|0|0|0|0|0
Cryptocarya cordifolia|2|0.37|0.42|0|1|0|0|0|0|0
Cryptocarya coriacea|9|-0.25|0.51|2|9|3|0|0|0|0
Cryptocarya corrugata|155|-0.15|0.67|2|9|3|0|0|0|0
Cryptocarya costata|8|0.31|0.56|2|3|0|0|0|0|0
Cryptocarya crassifolia|44|-0.2|0.32|0|2|3|0|0|0|0
Cryptocarya crassinerviopsis|4|0.17|0.27|0|1|0|0|0|0|0
Cryptocarya cunninghamii|249|-0.4|0.31|0|2|9|3|0|0|0
Cryptocarya dealbata|4|0.06|0.13|0|1|0|0|0|0|0
Cryptocarya densiflora|198|-0.3|0.65|2|9|3|0|0|0|0
Cryptocarya depressa|21|0.2|0.62|2|3|0|0|0|0|0
Cryptocarya dipterocarpifolia|1|0.68|0.68|1|0|0|0|0|0|0
Cryptocarya diversifolia|6|0.09|0.45|0|1|0|0|0|0|0
Cryptocarya dorrigoensis|64|0.31|0.48|0|1|0|0|0|0|0
Cryptocarya elegans|2|0.56|0.61|1|0|0|0|0|0|0
Cryptocarya elliptica|47|0.07|0.53|2|3|0|0|0|0|0
Cryptocarya elongata|1|0.61|0.61|1|0|0|0|0|0|0
Cryptocarya endiandrifolia|28|0.19|0.36|0|1|0|0|0|0|0
Cryptocarya enervis|4|0.42|0.57|2|3|0|0|0|0|0
Cryptocarya engleriana|1|0.74|0.74|1|0|0|0|0|0|0
Cryptocarya erythroxylon|308|-0.13|0.4|0|2|3|0|0|0|0
Cryptocarya exfoliata|222|-0.23|0.3|0|2|3|0|0|0|0
Cryptocarya fagifolia|3|0.17|0.43|0|1|0|0|0|0|0
Cryptocarya ferrea|62|0.21|0.6|2|3|0|0|0|0|0
Cryptocarya filicifolia|3|0.62|0.64|1|0|0|0|0|0|0
Cryptocarya floydii|53|-0.41|0.08|0|2|9|3|0|0|0
Cryptocarya foetida|135|0.09|0.35|0|1|0|0|0|0|0
Cryptocarya forbesii|2|0.33|0.54|2|3|0|0|0|0|0
Cryptocarya foveolata|281|-0.08|0.42|0|2|3|0|0|0|0
Cryptocarya fulva|4|0.09|0.35|0|1|0|0|0|0|0
Cryptocarya fuscopilosa|2|0.4|0.44|0|1|0|0|0|0|0
Cryptocarya gigantocarpa|4|0.39|0.47|0|1|0|0|0|0|0
Cryptocarya glabriflora|1|0.47|0.47|0|1|0|0|0|0|0
Cryptocarya glaucescens|1965|-0.12|0.38|0|2|3|0|0|0|0
Cryptocarya glaucocarpa|14|0.22|0.3|0|1|0|0|0|0|0
Cryptocarya globosa|2|0.3|0.37|0|1|0|0|0|0|0
Cryptocarya gracilis|20|0.26|0.66|2|3|0|0|0|0|0
Cryptocarya grandis|163|-0.06|0.66|2|9|3|0|0|0|0
Cryptocarya gregsoni|6|0.48|0.55|2|3|0|0|0|0|0
Cryptocarya griffithiana|63|0.15|0.61|2|3|0|0|0|0|0
Cryptocarya guianensis|23|0|0.63|2|3|0|0|0|0|0
Cryptocarya guillauminii|42|0.21|0.61|2|3|0|0|0|0|0
Cryptocarya hainanensis|3|0.32|0.34|0|1|0|0|0|0|0
Cryptocarya hartleyi|4|0.31|0.51|2|3|0|0|0|0|0
Cryptocarya helicina|3|0.11|0.37|0|1|0|0|0|0|0
Cryptocarya hornei|6|0.32|0.57|2|3|0|0|0|0|0
Cryptocarya hypospodia|226|-0.31|0.47|0|2|3|0|0|0|0
Cryptocarya idenburgensis|9|0.12|0.79|2|3|0|0|0|0|0
Cryptocarya impressa|11|0.11|0.48|0|1|0|0|0|0|0
Cryptocarya invasiorum|1|0.17|0.17|0|1|0|0|0|0|0
Cryptocarya iridescens|6|0.44|0.63|2|3|0|0|0|0|0
Cryptocarya kamahar|9|0.01|0.62|2|3|0|0|0|0|0
Cryptocarya krameri|13|0|0.23|0|1|0|0|0|0|0
Cryptocarya kurzii|37|0.09|0.59|2|3|0|0|0|0|0
Cryptocarya kwangtungensis|1|0.35|0.35|0|1|0|0|0|0|0
Cryptocarya laevigata|355|-0.17|0.6|2|9|3|0|0|0|0
Cryptocarya lancifolia|1|0.44|0.44|0|1|0|0|0|0|0
Cryptocarya lanuginosa|1|0.05|0.05|0|1|0|0|0|0|0
Cryptocarya laotica|2|0.43|0.56|2|3|0|0|0|0|0
Cryptocarya latifolia|10|-0.4|-0.01|0|0|2|3|0|0|0
Cryptocarya ledermannii|7|0.2|0.58|2|3|0|0|0|0|0
Cryptocarya leptospermoides|4|0.44|0.47|0|1|0|0|0|0|0
Cryptocarya leucophylla|72|-0.15|0.65|2|9|3|0|0|0|0
Cryptocarya liebertiana|55|-0.34|0.31|0|2|3|0|0|0|0
Cryptocarya lifuensis|8|0.13|0.32|0|1|0|0|0|0|0
Cryptocarya litoralis|37|-0.26|0.57|2|9|3|0|0|0|0
Cryptocarya lividula|110|0.01|0.64|2|3|0|0|0|0|0
Cryptocarya longifolia|21|0.01|0.56|2|3|0|0|0|0|0
Cryptocarya lucida|1|0.21|0.21|0|1|0|0|0|0|0
Cryptocarya lyoniifolia|5|0|0.24|0|1|0|0|0|0|0
Cryptocarya macdonaldii|115|-0.39|0.27|0|2|9|3|0|0|0
Cryptocarya mackeei|12|0.25|0.53|2|3|0|0|0|0|0
Cryptocarya mackinnoniana|137|0.05|0.67|2|3|0|0|0|0|0
Cryptocarya maclurei|2|0.26|0.4|0|1|0|0|0|0|0
Cryptocarya macrocarpa|19|0.17|0.55|2|3|0|0|0|0|0
Cryptocarya macrodesme|19|0.28|0.54|2|3|0|0|0|0|0
Cryptocarya magnifolia|4|0.22|0.43|0|1|0|0|0|0|0
Cryptocarya malayana|2|0.48|0.49|0|1|0|0|0|0|0
Cryptocarya mandioccana|76|-0.07|0.46|0|2|3|0|0|0|0
Cryptocarya mannii|7|-0.2|0.56|2|9|3|0|0|0|0
Cryptocarya massoy|17|-0.03|0.66|2|9|3|0|0|0|0
Cryptocarya medicinalis|1|0.38|0.38|0|1|0|0|0|0|0
Cryptocarya meisneriana|539|-0.06|0.43|0|2|3|0|0|0|0
Cryptocarya melanocarpa|84|0.01|0.63|2|3|0|0|0|0|0
Cryptocarya metcalfiana|4|0.09|0.34|0|1|0|0|0|0|0
Cryptocarya micrantha|27|-0.22|0.44|0|2|3|0|0|0|0
Cryptocarya microcos|1|0.27|0.27|0|1|0|0|0|0|0
Cryptocarya microneura|2112|-0.17|0.35|0|2|3|0|0|0|0
Cryptocarya minutifolia|11|0.23|0.58|2|3|0|0|0|0|0
Cryptocarya montana|2|0.01|0.3|0|1|0|0|0|0|0
Cryptocarya moschata|108|-0.26|0.42|0|2|3|0|0|0|0
Cryptocarya multiflora|8|0.02|0.41|0|1|0|0|0|0|0
Cryptocarya multinervis|12|0.36|0.67|2|3|0|0|0|0|0
Cryptocarya multipaniculata|13|0.18|0.52|2|3|0|0|0|0|0
Cryptocarya murrayi|158|0.07|0.69|2|3|0|0|0|0|0
Cryptocarya myrtifolia|14|-0.42|-0.06|0|0|2|3|0|0|0
Cryptocarya nana|2|0.34|0.37|0|1|0|0|0|0|0
Cryptocarya natalensis|11|-0.25|-0.04|0|0|1|0|0|0|0
Cryptocarya nigra|5|0.37|0.61|2|3|0|0|0|0|0
Cryptocarya nitens|27|0.03|0.6|2|3|0|0|0|0|0
Cryptocarya nothofagetorum|3|0.33|0.48|0|1|0|0|0|0|0
Cryptocarya nova-anglica|96|0.01|0.34|0|1|0|0|0|0|0
Cryptocarya oblata|114|-0.02|0.68|2|9|3|0|0|0|0
Cryptocarya obliqua|13|0.09|0.57|2|3|0|0|0|0|0
Cryptocarya obovata|784|-0.15|0.38|0|2|3|0|0|0|0
Cryptocarya occidentalis|22|-0.48|0.13|0|2|9|3|0|0|0
Cryptocarya ocoteifolia|2|-0.19|-0.03|0|0|1|0|0|0|0
Cryptocarya odorata|33|0.01|0.44|0|1|0|0|0|0|0
Cryptocarya onoprienkoana|91|-0.35|0.52|2|9|3|0|0|0|0
Cryptocarya oubatchensis|31|0.32|0.63|2|3|0|0|0|0|0
Cryptocarya ovalifolia|12|-0.12|0.24|0|2|3|0|0|0|0
Cryptocarya ovato-caudata|1|0.58|0.58|1|0|0|0|0|0|0
Cryptocarya palawanensis|1|0.24|0.24|0|1|0|0|0|0|0
Cryptocarya pallens|2|-0.3|-0.24|0|0|1|0|0|0|0
Cryptocarya pallidifolia|1|0.34|0.34|0|1|0|0|0|0|0
Cryptocarya panamensis|1|0.55|0.55|1|0|0|0|0|0|0
Cryptocarya parinarioides|1|0.44|0.44|0|1|0|0|0|0|0
Cryptocarya parvifolia|1|-0.41|-0.41|0|0|0|1|0|0|0
Cryptocarya perareolata|3|0.34|0.41|0|1|0|0|0|0|0
Cryptocarya pergracilis|2|0.44|0.62|2|3|0|0|0|0|0
Cryptocarya pervillei|24|0.08|0.22|0|1|0|0|0|0|0
Cryptocarya petiolata|2|0.1|0.16|0|1|0|0|0|0|0
Cryptocarya phyllostemon|20|0.29|0.64|2|3|0|0|0|0|0
Cryptocarya pleurosperma|72|0.29|0.69|2|3|0|0|0|0|0
Cryptocarya pluricostata|8|0.31|0.45|0|1|0|0|0|0|0
Cryptocarya polyneura|28|0.07|0.24|0|1|0|0|0|0|0
Cryptocarya pulchella|9|0.22|0.58|2|3|0|0|0|0|0
Cryptocarya pulchrinervia|16|0.05|0.52|2|3|0|0|0|0|0
Cryptocarya pullenii|2|0.48|0.5|2|3|0|0|0|0|0
Cryptocarya pustulata|1|0.4|0.4|0|1|0|0|0|0|0
Cryptocarya putida|63|0.04|0.56|2|3|0|0|0|0|0
Cryptocarya renicarpa|2|0.38|0.5|2|3|0|0|0|0|0
Cryptocarya resinosa|1|0.53|0.53|1|0|0|0|0|0|0
Cryptocarya retusa|17|-0.29|0.58|2|9|3|0|0|0|0
Cryptocarya revoluta|8|-0.11|0.33|0|2|3|0|0|0|0
Cryptocarya rhizophoretum|1|0.61|0.61|1|0|0|0|0|0|0
Cryptocarya rhodosperma|53|0.16|0.49|0|1|0|0|0|0|0
Cryptocarya riedeliana|17|-0.22|0.38|0|2|3|0|0|0|0
Cryptocarya rifaii|1|0.64|0.64|1|0|0|0|0|0|0
Cryptocarya rigida|1430|-0.08|0.39|0|2|3|0|0|0|0
Cryptocarya rigidifolia|29|-0.1|0.5|2|9|3|0|0|0|0
Cryptocarya rotundifolia|4|-0.12|-0.03|0|0|1|0|0|0|0
Cryptocarya rugulosa|8|0.35|0.6|2|3|0|0|0|0|0
Cryptocarya saccharata|75|-0.06|0.49|0|2|3|0|0|0|0
Cryptocarya saligna|54|-0.2|0.47|0|2|3|0|0|0|0
Cryptocarya schmidii|3|0.13|0.24|0|1|0|0|0|0|0
Cryptocarya schoddei|4|0.26|0.61|2|3|0|0|0|0|0
Cryptocarya sclerophylla|66|-0.34|0.28|0|2|3|0|0|0|0
Cryptocarya septentrionalis|12|-0.28|0.02|0|2|3|0|0|0|0
Cryptocarya sericeo-triplinervia|1|0.62|0.62|1|0|0|0|0|0|0
Cryptocarya sleumeri|2|0.58|0.61|1|0|0|0|0|0|0
Cryptocarya smaragdina|40|0.02|0.64|2|3|0|0|0|0|0
Cryptocarya spathulata|23|-0.09|0.45|0|2|3|0|0|0|0
Cryptocarya splendens|1|0.43|0.43|0|1|0|0|0|0|0
Cryptocarya strictifolia|10|0.03|0.59|2|3|0|0|0|0|0
Cryptocarya subbullata|2|0.22|0.42|0|1|0|0|0|0|0
Cryptocarya subfalcata|1|0.4|0.4|0|1|0|0|0|0|0
Cryptocarya sublanuginosa|2|0.44|0.44|0|1|0|0|0|0|0
Cryptocarya subtriplinervia|20|-0.45|0.26|0|2|9|3|0|0|0
Cryptocarya sulcata|1|0.26|0.26|0|1|0|0|0|0|0
Cryptocarya sumbawaensis|1|0.24|0.24|0|1|0|0|0|0|0
Cryptocarya tannaensis|5|0.42|0.53|2|3|0|0|0|0|0
Cryptocarya tawaensis|2|0.53|0.6|1|0|0|0|0|0|0
Cryptocarya tesselata|1|0.56|0.56|1|0|0|0|0|0|0
Cryptocarya teysmanniana|24|0.28|0.59|2|3|0|0|0|0|0
Cryptocarya thouvenotii|11|-0.64|0.36|0|2|9|9|3|0|0
Cryptocarya transvaalensis|20|-0.65|0.02|0|2|9|9|3|0|0
Cryptocarya transversa|28|0.03|0.6|2|3|0|0|0|0|0
Cryptocarya triplinervis|769|-0.36|0.46|0|2|9|3|0|0|0
Cryptocarya tsangii|5|0.18|0.34|0|1|0|0|0|0|0
Cryptocarya tuanku-bujangii|4|0.46|0.57|2|3|0|0|0|0|0
Cryptocarya turbinata|13|0.34|0.73|2|3|0|0|0|0|0
Cryptocarya turrilliana|2|0.53|0.54|1|0|0|0|0|0|0
Cryptocarya umbonata|2|0.63|0.63|1|0|0|0|0|0|0
Cryptocarya velutina|1|0.42|0.42|0|1|0|0|0|0|0
Cryptocarya velutinosa|24|0.25|0.53|2|3|0|0|0|0|0
Cryptocarya verrucosa|1|0.38|0.38|0|1|0|0|0|0|0
Cryptocarya vidalii|1|0.41|0.41|0|1|0|0|0|0|0
Cryptocarya viridiflora|5|0.22|0.58|2|3|0|0|0|0|0
Cryptocarya vulgaris|173|-0.16|0.47|0|2|3|0|0|0|0
Cryptocarya weinlandii|9|0.22|0.6|2|3|0|0|0|0|0
Cryptocarya whiffiniana|14|0.29|0.58|2|3|0|0|0|0|0
Cryptocarya wiedensis|4|-0.05|-0.01|0|0|1|0|0|0|0
Cryptocarya wightiana|4|0.35|0.67|2|3|0|0|0|0|0
Cryptocarya williwilliana|42|-0.06|0.25|0|2|3|0|0|0|0
Cryptocarya womersleyi|1|0.37|0.37|0|1|0|0|0|0|0
Cryptocarya woodii|65|-0.6|-0.04|0|0|2|9|3|0|0
Cryptocarya wrayi|1|0.57|0.57|1|0|0|0|0|0|0
Cryptocarya wyliei|18|-0.3|-0.03|0|0|1|0|0|0|0
Cryptocarya xylophylla|4|0.37|0.76|2|3|0|0|0|0|0
Cryptocarya yasuniensis|3|0.52|0.6|1|0|0|0|0|0|0
Cryptocarya yunnanensis|3|0.06|0.1|0|1|0|0|0|0|0
Cryptocarya zollingeriana|7|0.35|0.55|2|3|0|0|0|0|0
Cryptolepis arbuscula|4|-0.94|-0.86|0|0|0|0|0|1|0
Cryptolepis macrophylla|7|-0.96|-0.83|0|0|0|0|0|2|3
Cryptomeria japonica|2822|-0.07|0.6|2|9|3|0|0|0|0
Cryptosepalum congolanum|20|-0.08|0.46|0|2|3|0|0|0|0
Cryptosepalum diphyllum|2|-0.35|0.09|0|2|3|0|0|0|0
Cryptosepalum exfoliatum|15|-0.53|-0.03|0|0|2|9|3|0|0
Cryptosepalum korupense|7|0.45|0.52|2|3|0|0|0|0|0
Cryptosepalum minutifolium|4|0.06|0.23|0|1|0|0|0|0|0
Cryptosepalum pellegrinianum|19|-0.04|0.38|0|2|3|0|0|0|0
Cryptosepalum staudtii|11|0.03|0.23|0|1|0|0|0|0|0
Cryptosepalum tetraphyllum|63|-0.18|0.36|0|2|3|0|0|0|0
Ctenardisia amplifolia|26|0.25|0.49|0|1|0|0|0|0|0
Ctenardisia purpusii|16|-0.01|0.34|0|2|3|0|0|0|0
Ctenardisia stenobotrys|6|0.39|0.43|0|1|0|0|0|0|0
Ctenolophon englerianus|13|0.23|0.57|2|3|0|0|0|0|0
Ctenolophon parvifolius|52|0.21|0.67|2|3|0|0|0|0|0
Cuatresia riparia|174|-0.15|0.61|2|9|3|0|0|0|0
Cubanola domingensis|14|-0.39|0.19|0|2|9|3|0|0|0
Cubilia cubili|14|0.21|0.58|2|3|0|0|0|0|0
Cuervea integrifolia|2|-0.24|0.14|0|2|3|0|0|0|0
Cullenia exarillata|1|0.68|0.68|1|0|0|0|0|0|0
Cunninghamia konishii|50|0.18|0.83|2|3|0|0|0|0|0
Cunninghamia lanceolata|458|-0.24|0.59|2|9|3|0|0|0|0
Cunonia aoupiniensis|9|0.39|0.67|2|3|0|0|0|0|0
Cunonia atrorubens|18|0.21|0.68|2|3|0|0|0|0|0
Cunonia austrocaledonica|20|0.31|0.55|2|3|0|0|0|0|0
Cunonia balansae|44|0.17|0.59|2|3|0|0|0|0|0
Cunonia bopopensis|3|0.61|0.64|1|0|0|0|0|0|0
Cunonia bullata|13|0.33|0.7|2|3|0|0|0|0|0
Cunonia capensis|185|-0.69|-0.15|0|0|2|9|3|0|0
Cunonia cerifera|6|0.27|0.51|2|3|0|0|0|0|0
Cunonia deplanchei|8|0.12|0.48|0|1|0|0|0|0|0
Cunonia lenormandii|27|0.39|0.69|2|3|0|0|0|0|0
Cunonia linearisepala|8|0.02|0.45|0|1|0|0|0|0|0
Cunonia montana|29|0.35|0.7|2|3|0|0|0|0|0
Cunonia pterophylla|22|0.2|0.63|2|3|0|0|0|0|0
Cunonia pulchella|41|0.32|0.69|2|3|0|0|0|0|0
Cunonia purpurea|27|-0.07|0.56|2|9|3|0|0|0|0
Cunonia rotundifolia|2|0.62|0.7|1|0|0|0|0|0|0
Cunonia varijuga|8|0.39|0.68|2|3|0|0|0|0|0
Cunonia vieillardii|41|0.15|0.64|2|3|0|0|0|0|0
Cupania americana|302|-0.32|0.5|2|9|3|0|0|0|0
Cupania belizensis|206|-0.43|0.45|0|2|9|3|0|0|0
Cupania bracteosa|49|-0.25|0.27|0|2|3|0|0|0|0
Cupania cinerea|458|-0.2|0.58|2|9|3|0|0|0|0
Cupania concolor|15|-0.26|0.37|0|2|3|0|0|0|0
Cupania crassifolia|10|-0.25|0.33|0|2|3|0|0|0|0
Cupania dentata|456|-0.48|0.48|0|2|9|3|0|0|0
Cupania diphylla|74|-0.1|0.53|2|9|3|0|0|0|0
Cupania emarginata|124|-0.29|0.36|0|2|3|0|0|0|0
Cupania fluminensis|6|-0.14|0.12|0|2|3|0|0|0|0
Cupania furfuracea|34|-0.2|0.46|0|2|3|0|0|0|0
Cupania glabra|397|-0.37|0.56|2|9|9|3|0|0|0
Cupania grandiflora|10|0.52|0.65|1|0|0|0|0|0|0
Cupania guatemalensis|202|-0.23|0.55|2|9|3|0|0|0|0
Cupania hirsuta|101|0|0.54|2|3|0|0|0|0|0
Cupania hispida|52|0.01|0.5|2|3|0|0|0|0|0
Cupania impressinervia|141|-0.57|0.2|0|2|9|9|3|0|0
Cupania juglandifolia|76|-0.12|0.61|2|9|3|0|0|0|0
Cupania kukenanica|2|0.28|0.31|0|1|0|0|0|0|0
Cupania lanuginosa|1|-0.07|-0.07|0|0|1|0|0|0|0
Cupania largifolia|10|0.47|0.61|2|3|0|0|0|0|0
Cupania latifolia|248|-0.39|0.52|2|9|9|3|0|0|0
Cupania livida|70|0.36|0.66|2|3|0|0|0|0|0
Cupania ludowigii|60|-0.37|0.24|0|2|9|3|0|0|0
Cupania macrostylis|177|-0.12|0.51|2|9|3|0|0|0|0
Cupania mollis|22|-0.52|0.52|2|9|9|9|3|0|0
Cupania moraesiana|1|-0.03|-0.03|0|0|1|0|0|0|0
